Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
|name               |ra         |dec        |flux_20_cm|flux_20_cm_error|major_axis|major_axis_error|minor_axis|minor_axis_error|
|NVSS J021730+734932|02 17 30.88|+73 49 32.3|    2271.0|            68.1|      15.6|                |      15.3|                |
|NVSS J192748+735802|19 27 48.53|+73 58 02.1|    3950.2|           118.5|      17.5|                |      16.6|                |
|NVSS J033429+741032|03 34 29.00|+74 10 32.7|    1843.5|            55.3|      19.6|                |      17.6|                |
|NVSS J101414+743737|10 14 14.80|+74 37 37.2|    2086.7|            68.1|      40.3|             1.4|      16.4|                |
|NVSS J015735+744241|01 57 35.13|+74 42 41.7|    1800.7|            54.0|      17.9|                |      16.3|                |
|NVSS J041317+745106|04 13 17.66|+74 51 06.3|    2846.5|           100.4|      14.7|             2.9|      17.9|                |
|NVSS J164843+754628|16 48 43.16|+75 46 28.7|    1941.3|            58.2|      17.8|                |      16.1|                |
|NVSS J220314+314538|22 03 14.92|+31 45 38.7|    2878.4|            98.5|      24.5|             1.9|      17.3|                |
|NVSS J011018+314720|01 10 18.79|+31 47 20.0|    1653.3|            54.0|      40.1|             1.4|      15.6|                |
|NVSS J202319+315302|20 23 19.06|+31 53 02.8|    3367.5|           101.0|      18.1|                |      16.5|                |
|NVSS J132616+315409|13 26 16.51|+31 54 09.7|    4861.9|           145.9|      17.6|                |      16.4|                |
|NVSS J190255+315942|19 02 55.95|+31 59 42.2|    3203.8|            96.1|      15.7|                |      15.2|                |
|NVSS J011935+321050|01 19 35.02|+32 10 50.0|    2635.2|            79.1|      19.5|                |      16.1|                |
|NVSS J001506+321613|00 15 06.22|+32 16 13.3|    1677.8|            50.3|      16.9|                |      15.0|                |
|NVSS J033630+321829|03 36 30.12|+32 18 29.2|    2676.6|            80.3|      18.3|                |      16.9|                |
|NVSS J131028+322044|13 10 28.70|+32 20 44.3|    1686.6|            50.6|      19.8|                |      19.0|                |
|NVSS J052642+324958|05 26 42.55|+32 49 58.3|    2167.6|            65.0|      17.4|                |      17.2|                |
|NVSS J073555+330709|07 35 55.54|+33 07 09.6|    2473.1|            74.2|      19.2|                |      18.0|                |
|NVSS J013741+330935|01 37 41.27|+33 09 35.6|   16017.7|           480.5|      17.4|                |      16.8|                |
|NVSS J004055+331007|00 40 55.01|+33 10 07.3|    3223.4|            96.7|      17.8|                |      16.6|                |
|NVSS J012644+331309|01 26 44.40|+33 13 09.6|    3712.6|           144.2|      20.0|             2.2|      14.2|             3.1|
|NVSS J201049+332213|20 10 49.75|+33 22 13.6|    1559.3|            46.8|      19.5|                |      18.5|                |
|NVSS J160207+332653|16 02 07.27|+33 26 53.1|    2990.6|            89.7|      17.4|                |      16.8|                |
|NVSS J192417+332929|19 24 17.44|+33 29 29.7|    3766.0|           113.0|      18.4|                |      17.0|                |
|NVSS J200147+333140|20 01 47.61|+33 31 40.2|    3100.1|           106.2|      41.4|             1.3|      34.5|             1.5|
|NVSS J200154+333414|20 01 54.45|+33 34 14.6|    2100.8|            73.5|      17.3|             2.5|      19.8|                |
|NVSS J122033+334310|12 20 33.88|+33 43 10.9|    2845.9|            85.4|      19.0|                |      16.8|                |
|NVSS J201713+334546|20 17 13.01|+33 45 46.6|    2852.6|            99.1|      19.7|             2.3|      15.9|                |
|NVSS J034846+335315|03 48 46.90|+33 53 15.6|    2365.1|            71.0|      19.3|                |      19.0|                |
|NVSS J085740+340406|08 57 40.64|+34 04 06.4|    1798.4|            60.0|      32.6|             1.5|      17.9|                |
|NVSS J161341+341247|16 13 41.08|+34 12 47.7|    4024.1|           120.7|      19.4|                |      16.9|                |
|NVSS J053745+341807|05 37 45.12|+34 18 07.8|    1818.0|            63.9|      16.0|             2.7|      19.7|                |
|NVSS J041437+341851|04 14 37.26|+34 18 51.5|    1915.1|            57.5|      16.5|                |      15.7|                |
|NVSS J022610+342130|02 26 10.34|+34 21 30.4|    2894.4|            86.8|      17.6|                |      16.9|                |
|NVSS J023228+342405|02 32 28.71|+34 24 05.9|    2600.3|            90.7|      18.7|             2.4|      16.4|                |
